Player,Career Span,Start,End,Matches_Played,Innings_Batted,Not_Outs,Runs_Scored,Highest_Innings_Score,Highest_Innings_Score_Num,Batting_Avg,Balls_Faced,Strike_Rate,100_Scored,50_Scored,Ducks,4sBoundary,6sBoundary,Country,RandX,RandY
AG Prince ,2005-2005,2005,2005,1,1,0,5,5,5,5,6,83.33,0,0,0,0,0,South Africa,935,695
K Rabada ,2014-2018,2014,2018,18,3,2,5,5*,5,5,8,62.5,0,0,1,0,0,South Africa,1068,51
R Telemachus ,2006-2007,2006,2007,3,1,1,5,5*,5,-,3,166.66,0,0,0,0,0,South Africa,629,287
CK Langeveldt ,2005-2010,2005,2010,9,3,2,4,2*,2,4,8,50,0,0,0,0,0,South Africa,212,843
GJP Kruger ,2006-2006,2006,2006,1,1,0,3,3,3,3,5,60,0,0,0,0,0,South Africa,644,184
GL Cloete ,2018-2018,2018,2018,1,1,0,2,2,2,2,3,66.66,0,0,0,0,0,South Africa,829,145
LL Tsotsobe ,2009-2014,2009,2014,23,3,2,2,1*,1,2,10,20,0,0,0,0,0,South Africa,537,1009
HH Dippenaar ,2006-2006,2006,2006,1,1,0,1,1,1,1,5,20,0,0,0,0,0,South Africa,48,619
J Louw ,2008-2009,2008,2009,2,1,1,1,1*,1,-,1,100,0,0,0,0,0,South Africa,906,1041
T Henderson ,2006-2006,2006,2006,1,1,0,0,0,0,0,2,0,0,0,1,0,0,South Africa,1040,340
A Nel ,2005-2007,2005,2007,2,1,1,0,0*,0,-,2,0,0,0,0,0,0,South Africa,928,830
T Shamsi ,2017-2018,2017,2018,9,2,1,0,0*,0,0,4,0,0,0,1,0,0,South Africa,167,336
M Zondeki ,2006-2006,2006,2006,1,1,0,0,0,0,0,1,0,0,0,1,0,0,South Africa,856,570
YA Abdulla ,2009-2009,2009,2009,2,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,951,690
N Boje ,2005-2005,2005,2005,1,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,205,468
M de Lange ,2012-2015,2012,2015,6,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,461,638
R Frylinck ,2017-2018,2017,2018,3,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,547,1074
E Leie ,2015-2015,2015,2015,2,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,256,86
D Pretorius ,2017-2017,2017,2017,2,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,17,144
AC Thomas ,2007-2007,2007,2007,1,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,892,296
DJ Vilas ,2012-2012,2012,2012,1,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,52,109
MN Samuels ,2007-2018,2007,2018,67,65,10,1611,89*,89,29.29,1386,116.23,0,10,0,144,69,West Indies,906,556
CH Gayle ,2006-2018,2006,2018,56,52,4,1607,117,117,33.47,1123,143.09,2,13,3,137,103,West Indies,55,896
DJ Bravo ,2006-2016,2006,2016,66,59,12,1142,66*,66,24.29,981,116.41,0,4,4,67,49,West Indies,251,563
LMP Simmons ,2007-2017,2007,2017,45,44,6,907,82*,82,23.86,777,116.73,0,5,6,86,33,West Indies,376,126
KA Pollard ,2008-2018,2008,2018,59,50,10,788,63*,63,19.7,618,127.5,0,2,1,56,40,West Indies,1070,316
ADS Fletcher ,2008-2018,2008,2018,42,40,4,765,84*,84,21.25,707,108.2,0,6,6,54,37,West Indies,589,248
J Charles ,2011-2016,2011,2016,34,33,0,724,84,84,21.93,595,121.68,0,4,4,84,26,West Indies,384,710
E Lewis ,2016-2018,2016,2018,20,20,1,637,125*,125,33.52,389,163.75,2,4,1,38,54,West Indies,622,171
DR Smith ,2006-2015,2006,2015,33,32,0,582,72,72,18.18,474,122.78,0,3,1,62,31,West Indies,882,448
D Ramdin ,2006-2018,2006,2018,68,47,14,581,55*,55,17.6,498,116.66,0,1,3,48,18,West Indies,453,952
DJG Sammy ,2007-2016,2007,2016,66,50,16,534,42*,42,15.7,359,148.74,0,0,3,42,27,West Indies,879,825
AD Russell ,2011-2018,2011,2018,47,39,13,465,47,47,17.88,329,141.33,0,0,6,30,32,West Indies,522,298
S Chanderpaul ,2006-2010,2006,2010,22,22,5,343,41,41,20.17,347,98.84,0,0,0,34,5,West Indies,68,174
DM Bravo ,2010-2018,2010,2018,17,15,1,308,43*,43,22,278,110.79,0,0,2,26,11,West Indies,172,299
RR Sarwan ,2007-2010,2007,2010,18,16,3,298,59,59,22.92,286,104.19,0,2,1,19,6,West Indies,606,155
CR Brathwaite ,2011-2018,2011,2018,35,22,6,281,37*,37,17.56,228,123.24,0,0,1,13,20,West Indies,242,1008
CAK Walton ,2014-2018,2014,2018,19,17,0,225,40,40,13.23,203,110.83,0,0,5,23,11,West Indies,116,405
R Powell ,2017-2018,2017,2018,20,15,2,221,50,50,17,191,115.7,0,1,1,18,8,West Indies,431,992
DS Smith ,2007-2009,2007,2009,6,6,0,203,61,61,33.83,161,126.08,0,2,0,22,5,West Indies,822,18
SD Hope ,2017-2018,2017,2018,9,7,0,173,55,55,24.71,111,155.85,0,1,0,19,9,West Indies,868,392
N Pooran ,2016-2018,2016,2018,8,8,2,148,53*,53,24.66,97,152.57,0,1,0,14,8,West Indies,948,437
SP Narine ,2012-2017,2012,2017,48,20,8,147,30,30,12.25,116,126.72,0,0,2,13,5,West Indies,141,407
KMA Paul ,2018-2018,2018,2018,13,9,4,124,29,29,24.8,96,129.16,0,0,0,8,7,West Indies,918,1005
JE Taylor ,2006-2018,2006,2018,30,15,6,118,21,21,13.11,92,128.26,0,0,1,10,6,West Indies,436,488
XM Marshall ,2008-2009,2008,2009,6,6,0,96,36,36,16,77,124.67,0,0,1,8,4,West Indies,204,869
RS Morton ,2006-2010,2006,2010,7,7,1,96,40,40,16,103,93.2,0,0,1,8,2,West Indies,635,1054
JN Mohammed ,2017-2018,2017,2018,9,8,3,90,23*,23,18,103,87.37,0,0,1,9,1,West Indies,220,760
CD Barnwell ,2011-2013,2011,2013,6,6,2,78,34*,34,19.5,62,125.8,0,0,1,4,4,West Indies,28,374
SO Hetmyer ,2018-2018,2018,2018,8,6,0,77,26,26,12.83,63,122.22,0,0,1,10,3,West Indies,1106,178
AR Nurse ,2011-2018,2011,2018,12,7,5,72,20*,20,36,63,114.28,0,0,0,5,3,West Indies,940,263
TM Dowlin ,2009-2010,2009,2010,2,2,1,68,37*,37,68,69,98.55,0,0,0,8,0,West Indies,238,297
DP Hyatt ,2011-2012,2011,2012,5,5,1,64,28,28,16,54,118.51,0,0,0,4,4,West Indies,648,703
N Deonarine ,2010-2013,2010,2013,8,7,2,55,36*,36,11,53,103.77,0,0,3,5,0,West Indies,766,301
S Badree ,2012-2018,2012,2018,50,15,9,43,14*,14,7.16,63,68.25,0,0,0,1,1,West Indies,575,520
NO Miller ,2009-2014,2009,2014,9,5,4,43,15*,15,43,47,91.48,0,0,0,2,0,West Indies,960,509
JO Holder ,2014-2017,2014,2017,8,4,1,42,26*,26,14,37,113.51,0,0,1,4,1,West Indies,427,1080
SJ Benn ,2008-2016,2008,2016,24,7,4,37,13*,13,12.33,42,88.09,0,0,1,5,1,West Indies,141,591
FA Allen ,2018-2018,2018,2018,6,4,0,35,27,27,8.75,31,112.9,0,0,2,5,0,West Indies,639,245
SE Findlay ,2008-2008,2008,2008,2,2,0,32,19,19,16,31,103.22,0,0,0,4,0,West Indies,161,946
WW Hinds ,2006-2010,2006,2010,5,5,1,30,14,14,7.5,41,73.17,0,0,1,3,0,West Indies,120,641
NE Bonner ,2011-2012,2011,2012,2,2,0,27,24,24,13.5,38,71.05,0,0,0,2,0,West Indies,25,575
D Ganga ,2006-2006,2006,2006,1,1,0,26,26,26,26,31,83.87,0,0,0,3,1,West Indies,596,50
AB Barath ,2010-2011,2010,2011,2,2,0,23,15,15,11.5,39,58.97,0,0,0,3,0,West Indies,647,394
FL Reifer ,2009-2009,2009,2009,1,1,0,22,22,22,22,20,110,0,0,0,2,1,West Indies,589,534
TL Best ,2013-2014,2013,2014,6,1,1,17,17*,17,-,9,188.88,0,0,0,0,2,West Indies,934,333
RR Emrit ,2018-2018,2018,2018,4,3,0,17,11,11,5.66,27,62.96,0,0,0,0,1,West Indies,469,430
KOA Powell ,2014-2014,2014,2014,1,1,0,12,12,12,12,14,85.71,0,0,0,1,0,West Indies,550,1005
R Rampaul ,2007-2015,2007,2015,23,6,5,12,8,8,12,21,57.14,0,0,0,0,0,West Indies,4,158
CS Baugh ,2008-2012,2008,2012,3,3,0,10,7,7,3.33,12,83.33,0,0,0,1,0,West Indies,39,178
FH Edwards ,2007-2012,2007,2012,20,4,2,10,7*,7,5,9,111.11,0,0,1,1,0,West Indies,253,212
BA Parchment ,2007-2007,2007,2007,1,1,0,10,10,10,10,6,166.66,0,0,0,1,1,West Indies,136,290
K Pierre ,2018-2018,2018,2018,3,2,1,10,9*,9,10,9,111.11,0,0,0,2,0,West Indies,743,485
ACL Richards ,2007-2007,2007,2007,1,1,0,10,10,10,10,15,66.66,0,0,0,1,0,West Indies,957,809
WKD Perkins ,2008-2008,2008,2008,1,1,0,9,9,9,9,11,81.81,0,0,0,1,0,West Indies,229,840
O Thomas ,2018-2018,2018,2018,6,3,1,8,8*,8,4,8,100,0,0,2,2,0,West Indies,656,125
D Bishoo ,2011-2015,2011,2015,5,2,1,6,6*,6,6,6,100,0,0,1,1,0,West Indies,990,215
OF Smith ,2018-2018,2018,2018,2,1,0,6,6,6,6,5,120,0,0,0,1,0,West Indies,485,1009
KOK Williams ,2016-2018,2016,2018,18,5,2,6,3,3,2,10,60,0,0,1,0,0,West Indies,1056,798
SS Cottrell ,2014-2018,2014,2018,10,3,2,5,3*,3,5,10,50,0,0,1,0,0,West Indies,909,179
AM McCarthy ,2018-2018,2018,2018,1,1,0,5,5,5,5,8,62.5,0,0,0,0,0,West Indies,503,567
GE Mathurin ,2011-2012,2011,2012,3,2,2,4,3*,3,-,5,80,0,0,0,0,0,West Indies,945,943
MC Bascombe ,2011-2011,2011,2011,1,1,0,3,3,3,3,7,42.85,0,0,0,0,0,West Indies,575,854
KAJ Roach ,2008-2012,2008,2012,11,1,1,3,3*,3,-,2,150,0,0,0,0,0,West Indies,28,611
SE Rutherford ,2018-2018,2018,2018,1,1,0,2,2,2,2,6,33.33,0,0,0,0,0,West Indies,501,276
DE Bernard ,2009-2009,2009,2009,1,1,1,1,1*,1,-,1,100,0,0,0,0,0,West Indies,1027,404
DBL Powell ,2007-2007,2007,2007,5,1,1,1,1*,1,-,1,100,0,0,0,0,0,West Indies,842,6
IDR Bradshaw ,2006-2006,2006,2006,1,1,1,0,0*,0,-,0,-,0,0,0,0,0,West Indies,161,666
DO Christian ,2011-2011,2011,2011,2,1,0,0,0,0,0,2,0,0,0,1,0,0,West Indies,117,120
RN Lewis ,2008-2008,2008,2008,1,1,0,0,0,0,0,4,0,0,0,1,0,0,West Indies,818,1033
DM Richards ,2009-2009,2009,2009,1,1,0,0,0,0,0,1,0,0,0,1,0,0,West Indies,1029,610
K Santokie ,2011-2014,2011,2014,12,1,1,0,0*,0,-,0,-,0,0,0,0,0,West Indies,497,792
LS Baker ,2008-2009,2008,2009,3,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,169,152
DK Butler ,2006-2006,2006,2006,1,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,756,967
ST Gabriel ,2013-2013,2013,2013,2,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,176,965
A Martin ,2011-2011,2011,2011,1,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,61,344
V Permaul ,2018-2018,2018,2018,1,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,921,557
DC Thomas ,2009-2013,2009,2013,3,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,733,686
GC Tonge ,2009-2009,2009,2009,1,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,747,389
MJ Guptill ,2009-2018,2009,2018,75,73,7,2271,105,105,34.4,1709,132.88,2,14,2,200,103,New Zealand,937,403
BB McCullum ,2005-2015,2005,2015,71,70,10,2140,123,123,35.66,1571,136.21,2,13,3,199,91,New Zealand,98,399
LRPL Taylor ,2006-2018,2006,2018,84,76,18,1467,63,63,25.29,1210,121.23,0,5,4,94,55,New Zealand,1055,934
KS Williamson ,2011-2018,2011,2018,54,52,7,1424,73*,73,31.64,1176,121.08,0,9,2,152,23,New Zealand,68,615
C Munro ,2012-2018,2012,2018,48,45,7,1277,109*,109,33.6,792,161.23,3,8,4,95,83,New Zealand,944,1111
SB Styris ,2005-2010,2005,2010,31,29,2,578,66,66,21.4,483,119.66,0,1,0,40,25,New Zealand,652,563
CJ Anderson ,2012-2018,2012,2018,31,24,4,485,94*,94,24.25,351,138.17,0,2,3,30,26,New Zealand,430,479
JDP Oram ,2005-2012,2005,2012,36,30,7,474,66*,66,20.6,339,139.82,0,2,3,38,22,New Zealand,872,250
JEC Franklin ,2006-2013,2006,2013,38,31,8,463,60,60,20.13,391,118.41,0,2,2,28,23,New Zealand,50,383
JD Ryder ,2008-2014,2008,2014,22,21,1,457,62,62,22.85,358,127.65,0,3,2,47,18,New Zealand,971,432
RJ Nicol ,2010-2013,2010,2013,21,19,0,327,58,58,17.21,296,110.47,0,2,2,33,11,New Zealand,933,156
L Ronchi ,2013-2017,2013,2017,29,23,6,312,51*,51,18.35,227,137.44,0,1,4,22,13,New Zealand,694,998
NL McCullum ,2007-2016,2007,2016,63,41,15,299,36*,36,11.5,297,100.67,0,0,4,19,8,New Zealand,502,770
TC Bruce ,2017-2018,2017,2018,14,14,2,226,59*,59,18.83,176,128.4,0,1,0,21,7,New Zealand,1097,803
DL Vettori ,2007-2014,2007,2014,34,22,6,205,38,38,12.81,190,107.89,0,0,3,14,2,New Zealand,678,1070
CD McMillan ,2005-2007,2005,2007,8,7,1,187,57,57,31.16,117,159.82,0,1,0,8,14,New Zealand,873,190
C de Grandhomme ,2012-2018,2012,2018,22,20,7,178,41*,41,13.69,129,137.98,0,0,2,9,11,New Zealand,922,642
L Vincent ,2006-2007,2006,2007,9,9,0,174,42,42,19.33,174,100,0,0,1,17,3,New Zealand,719,942
MJ Santner ,2015-2018,2015,2018,27,17,6,170,37,37,15.45,132,128.78,0,0,2,15,5,New Zealand,609,30
TWM Latham ,2012-2017,2012,2017,13,10,0,163,39,39,16.3,157,103.82,0,0,0,12,2,New Zealand,760,188
GD Elliott ,2009-2016,2009,2016,16,14,4,157,27,27,15.7,149,105.36,0,0,0,10,2,New Zealand,268,35
HD Rutherford ,2013-2013,2013,2013,7,6,0,151,62,62,25.16,104,145.19,0,1,0,12,9,New Zealand,380,835
GD Phillips ,2017-2018,2017,2018,11,10,1,140,56,56,15.55,140,100,0,1,0,9,5,New Zealand,856,897
KD Mills ,2005-2014,2005,2014,42,19,7,137,33*,33,11.41,123,111.38,0,0,4,11,5,New Zealand,557,1079
TG Southee ,2008-2018,2008,2018,54,23,7,132,23,23,8.25,96,137.5,0,0,4,12,7,New Zealand,451,387
PG Fulton ,2006-2012,2006,2012,12,12,1,127,25,25,11.54,140,90.71,0,0,2,7,6,New Zealand,831,1001
AJ Redmond ,2009-2010,2009,2010,7,6,0,126,63,63,21,84,150,0,1,0,19,2,New Zealand,116,1093
JDS Neesham ,2012-2017,2012,2017,15,12,3,122,28,28,13.55,93,131.18,0,0,1,15,3,New Zealand,238,479
AP Devcich ,2013-2014,2013,2014,4,4,0,111,59,59,27.75,79,140.5,0,1,0,17,2,New Zealand,201,118
SP Fleming ,2005-2006,2005,2006,5,5,0,110,38,38,22,85,129.41,0,0,0,20,0,New Zealand,159,843
GH Worker ,2015-2015,2015,2015,2,2,0,90,62,62,45,64,140.62,0,1,0,6,5,New Zealand,899,783
GJ Hopkins ,2007-2010,2007,2010,10,8,0,86,36,36,10.75,71,121.12,0,0,0,5,5,New Zealand,401,580
MS Chapman ,2018-2018,2018,2018,5,5,1,83,37*,37,20.75,69,120.28,0,0,0,4,4,New Zealand,991,149
DAJ Bracewell ,2011-2018,2011,2018,17,9,5,77,21*,21,19.25,57,135.08,0,0,2,5,4,New Zealand,641,866
NJ Astle ,2005-2006,2005,2006,4,4,1,74,40*,40,24.66,67,110.44,0,0,0,7,2,New Zealand,14,657
NT Broom ,2009-2017,2009,2017,11,7,1,73,36,36,12.16,68,107.35,0,0,0,8,1,New Zealand,211,69
PD McGlashan ,2006-2010,2006,2010,11,9,1,61,26,26,7.62,64,95.31,0,0,0,6,2,New Zealand,4,386
DR Flynn ,2008-2012,2008,2012,5,5,0,59,23,23,11.8,51,115.68,0,0,0,1,4,New Zealand,245,169
JM How ,2007-2008,2007,2008,5,5,0,56,31,31,11.2,67,83.58,0,0,0,5,1,New Zealand,641,67
IS Sodhi ,2014-2018,2014,2018,29,6,3,50,15,15,16.66,49,102.04,0,0,1,4,2,New Zealand,757,347
TL Seifert ,2018-2018,2018,2018,7,6,1,40,14*,14,8,29,137.93,0,0,2,2,4,New Zealand,19,390
AK Kitchen ,2017-2018,2017,2018,5,4,1,38,16,16,12.66,32,118.75,0,0,0,3,1,New Zealand,118,450
BJ Watling ,2009-2014,2009,2014,5,4,0,38,22,22,9.5,58,65.51,0,0,0,3,0,New Zealand,59,701
RM Hira ,2012-2013,2012,2013,15,3,1,37,20*,20,18.5,33,112.12,0,0,0,4,1,New Zealand,167,515
BM Wheeler ,2017-2018,2017,2018,6,4,2,37,30,30,18.5,28,132.14,0,0,0,3,2,New Zealand,100,1010
AM Ellis ,2012-2013,2012,2013,5,5,2,25,16,16,8.33,21,119.04,0,0,0,1,1,New Zealand,506,821
PJ Ingram ,2010-2010,2010,2010,3,3,1,22,20*,20,11,35,62.85,0,0,1,3,0,New Zealand,693,224
SE Bond ,2005-2010,2005,2010,20,8,3,21,8*,8,4.2,21,100,0,0,2,2,0,New Zealand,623,332
MR Gillespie ,2006-2008,2006,2008,11,6,4,21,7,7,10.5,29,72.41,0,0,0,0,0,New Zealand,145,431
AF Milne ,2010-2018,2010,2018,21,8,8,21,10*,10,-,23,91.3,0,0,0,1,0,New Zealand,829,987
JW Wilson ,2005-2005,2005,2005,1,1,0,18,18,18,18,14,128.57,0,0,0,2,0,New Zealand,842,1019
TA Blundell ,2017-2018,2017,2018,3,2,1,17,14,14,17,21,80.95,0,0,0,0,0,New Zealand,492,1096
HM Nicholls ,2016-2017,2016,2017,4,3,0,15,7,7,5,22,68.18,0,0,0,2,0,New Zealand,989,643
TA Boult ,2013-2018,2013,2018,25,7,3,14,5,5,3.5,24,58.33,0,0,1,0,0,New Zealand,212,591
MJ McClenaghan ,2012-2016,2012,2016,28,7,4,14,6*,6,4.66,15,93.33,0,0,2,1,1,New Zealand,145,57
JAH Marshall ,2005-2008,2005,2008,3,2,0,14,13,13,7,15,93.33,0,0,0,2,0,New Zealand,858,341
AR Adams ,2005-2006,2005,2006,4,2,1,13,7,7,13,12,108.33,0,0,0,1,0,New Zealand,770,184
PA Hitchcock ,2008-2008,2008,2008,1,1,0,13,13,13,13,11,118.18,0,0,0,1,1,New Zealand,948,71
HJH Marshall ,2005-2006,2005,2006,3,3,0,12,8,8,4,14,85.71,0,0,0,0,0,New Zealand,1094,67
MJ Henry ,2014-2017,2014,2017,6,2,1,10,10,10,10,5,200,0,0,0,2,0,New Zealand,76,489
JS Patel ,2005-2008,2005,2008,11,4,1,9,5,5,3,14,64.28,0,0,1,1,0,New Zealand,500,560
DG Brownlie ,2010-2014,2010,2014,5,5,0,6,5,5,1.2,18,33.33,0,0,3,1,0,New Zealand,758,978
IG Butler ,2009-2013,2009,2013,19,6,5,5,2*,2,5,10,50,0,0,0,0,0,New Zealand,360,644
CS Martin ,2007-2008,2007,2008,6,1,1,5,5*,5,-,6,83.33,0,0,0,0,0,New Zealand,313,816
DR Tuffey ,2005-2010,2005,2010,3,2,1,5,5*,5,5,5,100,0,0,1,1,0,New Zealand,691,409
CL Cairns ,2005-2006,2005,2006,2,2,0,3,2,2,1.5,13,23.07,0,0,0,0,0,New Zealand,532,701
MJ Mason ,2006-2008,2006,2008,3,1,0,2,2,2,2,2,100,0,0,0,0,0,New Zealand,808,534
SHA Rance ,2017-2018,2017,2018,5,2,0,2,1,1,1,4,50,0,0,0,0,0,New Zealand,135,121
TD Astle ,2016-2016,2016,2016,2,1,0,1,1,1,1,5,20,0,0,0,0,0,New Zealand,386,938
LH Ferguson ,2017-2018,2017,2018,2,1,0,1,1,1,1,3,33.33,0,0,0,0,0,New Zealand,459,735
EP Thompson ,2008-2008,2008,2008,1,1,1,1,1*,1,-,1,100,0,0,0,0,0,New Zealand,522,898
AJ McKay ,2010-2010,2010,2010,2,1,0,0,0,0,0,1,0,0,0,1,0,0,New Zealand,532,5
MS Sinclair ,2005-2007,2005,2007,2,2,0,0,0,0,0,5,0,0,0,2,0,0,New Zealand,452,21
GW Aldridge ,2011-2011,2011,2011,1,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,423,1078
MD Bates ,2012-2012,2012,2012,3,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,631,363
BJ Diamanti ,2009-2009,2009,2009,1,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,568,416
IE O'Brien (2009-2009),2009-2009,2009,2009,4,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,702,551
AY Patel ,2018-2018,2018,2018,2,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,189,746
LJ Woodcock ,2010-2011,2010,2011,3,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,740,188
RG Sharma ,2007-2018,2007,2018,90,82,14,2237,118,118,32.89,1619,138.17,4,15,6,201,98,India,428,560
V Kohli ,2010-2018,2010,2018,65,60,16,2167,90*,90,49.25,1592,136.11,0,19,2,218,48,India,416,727
SK Raina ,2006-2018,2006,2018,78,66,11,1605,101,101,29.18,1190,134.87,1,5,3,145,58,India,657,291
MS Dhoni ,2006-2018,2006,2018,93,80,40,1487,56,56,37.17,1170,127.09,0,2,1,107,47,India,733,602
S Dhawan ,2011-2018,2011,2018,46,45,3,1232,92,92,29.33,927,132.9,0,9,1,138,39,India,85,583
Yuvraj Singh ,2007-2017,2007,2017,58,51,9,1177,77*,77,28.02,863,136.38,0,8,1,77,74,India,832,106
G Gambhir ,2007-2012,2007,2012,37,36,2,932,75,75,27.41,783,119.02,0,7,2,109,10,India,318,131
KL Rahul ,2016-2018,2016,2018,25,22,4,782,110*,110,43.44,527,148.38,2,4,1,67,36,India,533,175
MK Pandey ,2015-2018,2015,2018,28,23,10,538,79*,79,41.38,438,122.83,0,2,2,35,16,India,743,791
V Sehwag ,2006-2012,2006,2012,19,18,0,394,68,68,21.88,271,145.38,0,2,1,43,16,India,162,202
AM Rahane ,2011-2016,2011,2016,20,20,2,375,61,61,20.83,331,113.29,0,1,2,32,6,India,510,671
KD Karthik ,2006-2018,2006,2018,26,21,12,352,48,48,39.11,245,143.67,0,0,1,40,11,India,735,551
HH Pandya ,2016-2018,2016,2018,35,22,6,271,33*,33,16.93,177,153.1,0,0,2,15,17,India,1107,496
RV Uthappa ,2007-2015,2007,2015,13,12,2,249,50,50,24.9,211,118,0,1,1,26,6,India,1000,1093
YK Pathan ,2007-2012,2007,2012,22,18,5,236,37*,37,18.15,161,146.58,0,0,3,11,17,India,379,1092
IK Pathan ,2006-2012,2006,2012,24,14,7,172,33*,33,24.57,144,119.44,0,0,0,9,7,India,973,293
M Vijay ,2010-2015,2010,2015,9,9,0,169,48,48,18.77,154,109.74,0,0,1,13,8,India,362,1004
RR Pant ,2017-2018,2017,2018,10,9,1,157,58,58,19.62,134,117.16,0,1,1,12,6,India,725,945
R Ashwin ,2010-2017,2010,2017,46,11,7,123,31*,31,30.75,115,106.95,0,0,0,14,1,India,689,942
KM Jadhav ,2015-2017,2015,2017,9,6,0,122,58,58,20.33,99,123.23,0,1,0,12,3,India,444,127
RA Jadeja ,2009-2017,2009,2017,40,18,6,116,25,25,9.66,124,93.54,0,0,2,6,2,India,426,189
Harbhajan Singh ,2006-2016,2006,2016,28,13,5,108,21,21,13.5,87,124.13,0,0,1,11,4,India,493,769
Mandeep Singh ,2016-2016,2016,2016,3,3,1,87,52*,52,43.5,73,119.17,0,1,0,11,1,India,922,505
SS Iyer ,2017-2017,2017,2017,6,5,0,83,30,30,16.6,80,103.75,0,0,1,8,1,India,766,192
AR Patel ,2015-2018,2015,2018,11,7,3,68,20*,20,17,54,125.92,0,0,0,3,3,India,763,991
S Badrinath ,2011-2011,2011,2011,1,1,0,43,43,43,43,37,116.21,0,0,0,5,0,India,966,158
AT Rayudu ,2014-2016,2014,2016,6,5,1,42,20,20,10.5,50,84,0,0,2,5,0,India,728,1032
D Mongia ,2006-2006,2006,2006,1,1,0,38,38,38,38,45,84.44,0,0,0,4,1,India,47,726
PA Patel ,2011-2011,2011,2011,2,2,0,36,26,26,18,32,112.5,0,0,0,4,1,India,948,1005
STR Binny ,2015-2016,2015,2016,3,2,0,35,24,24,17.5,29,120.68,0,0,0,2,1,India,1046,40
R Dravid ,2011-2011,2011,2011,1,1,0,31,31,31,31,21,147.61,0,0,0,0,3,India,307,365
A Nehra ,2009-2017,2009,2017,27,5,0,28,22,22,5.6,39,71.79,0,0,3,1,2,India,1048,718
KH Pandya ,2018-2018,2018,2018,6,2,1,23,21*,21,23,13,176.92,0,0,0,3,0,India,220,928
AB Dinda ,2009-2012,2009,2012,9,2,1,22,19,19,22,24,91.66,0,0,0,1,0,India,810,502
B Kumar ,2012-2018,2012,2018,34,8,5,22,9,9,7.33,26,84.61,0,0,1,0,0,India,90,625
Kuldeep Yadav ,2017-2018,2017,2018,17,2,1,20,16,16,20,20,100,0,0,0,2,0,India,919,441
S Sreesanth ,2006-2008,2006,2008,10,3,2,20,19*,19,20,14,142.85,0,0,1,4,0,India,85,140
SV Samson ,2015-2015,2015,2015,1,1,0,19,19,19,19,24,79.16,0,0,0,1,0,India,614,593
V Shankar ,2018-2018,2018,2018,5,1,0,17,17,17,17,19,89.47,0,0,0,3,0,India,210,40
AB Agarkar ,2006-2007,2006,2007,4,2,0,15,14,14,7.5,11,136.36,0,0,0,2,0,India,601,178
MK Tiwary ,2011-2012,2011,2012,3,1,0,15,15,15,15,17,88.23,0,0,0,0,0,India,219,257
Z Khan ,2006-2012,2006,2012,17,4,2,13,9,9,6.5,10,130,0,0,0,0,1,India,113,800
NV Ojha ,2010-2010,2010,2010,2,2,0,12,10,10,6,27,44.44,0,0,0,2,0,India,769,995
PP Ojha ,2009-2010,2009,2010,6,1,1,10,10*,10,-,6,166.66,0,0,0,0,1,India,595,891
SR Tendulkar ,2006-2006,2006,2006,1,1,0,10,10,10,10,12,83.33,0,0,0,2,0,India,784,136
JJ Bumrah ,2016-2018,2016,2018,40,6,4,8,7,7,4,13,61.53,0,0,1,1,0,India,499,153
I Sharma ,2008-2013,2008,2013,14,3,2,8,5*,5,8,9,88.88,0,0,1,1,0,India,191,769
P Kumar ,2008-2012,2008,2012,10,3,0,7,6,6,2.33,16,43.75,0,0,1,0,0,India,20,257
Parvez Rasool ,2017-2017,2017,2017,1,1,0,5,5,5,5,6,83.33,0,0,0,0,0,India,441,975
YS Chahal ,2016-2018,2016,2018,27,1,1,3,3*,3,-,2,150,0,0,0,0,0,India,1086,1026
MM Sharma ,2014-2015,2014,2015,8,2,2,3,3*,3,-,7,42.85,0,0,0,0,0,India,898,688
RP Singh ,2007-2009,2007,2009,10,2,2,3,2*,2,-,3,100,0,0,0,0,0,India,357,819
R Vinay Kumar ,2010-2013,2010,2013,9,1,1,2,2*,2,-,4,50,0,0,0,0,0,India,1084,707
